2024-05-09 | 23:00:27.560 | tartedMain |  INFO | o.h.jpa.internal.util.LogHelper     | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-09 | 23:00:27.599 | tartedMain |  INFO | org.hibernate.Version               | HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-09 | 23:00:27.621 | tartedMain |  INFO | o.h.c.i.RegionFactoryInitiator      | HHH000026: Second-level cache disabled
2024-05-09 | 23:00:27.778 | tartedMain |  INFO | o.s.o.j.p.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-09 | 23:00:27.800 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Starting...
2024-05-09 | 23:00:27.904 | tartedMain |  INFO | com.zaxxer.hikari.pool.HikariPool   | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@f5e7f4c
2024-05-09 | 23:00:27.905 | tartedMain |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Start completed.
2024-05-09 | 23:00:27.926 | tartedMain |  WARN | org.hibernate.orm.deprecation       | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-09 | 23:00:28.651 | tartedMain |  INFO | o.h.e.t.j.p.i.JtaPlatformInitiator  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-09 | 23:00:28.667 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.667 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 23:00:28.668 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.668 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "delivery" does not exist, skipping
2024-05-09 | 23:00:28.670 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.670 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "item" does not exist, skipping
2024-05-09 | 23:00:28.671 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.671 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "order" does not exist, skipping
2024-05-09 | 23:00:28.672 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.672 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "delivery" does not exist, skipping
2024-05-09 | 23:00:28.674 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.674 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "item" does not exist, skipping
2024-05-09 | 23:00:28.674 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.675 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "order" does not exist, skipping
2024-05-09 | 23:00:28.675 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 23:00:28.675 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "truck" does not exist, skipping
2024-05-09 | 23:00:28.676 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
